Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,5500.200195,5500.200195,5444.00,5444.00,000,5444.00
2016-12-01,5440.50,5500.200195,5440.50,5500.200195,000,5500.200195
2016-11-30,5457.50,5458.100098,5423.200195,5440.50,000,5440.50
2016-11-29,5464.399902,5486.600098,5453.299805,5457.50,000,5457.50
2016-11-28,5507.799805,5507.799805,5464.399902,5464.399902,000,5464.399902
2016-11-25,5485.100098,5520.899902,5478.899902,5507.799805,000,5507.799805
2016-11-24,5484.399902,5503.299805,5471.799805,5485.100098,000,5485.100098
2016-11-23,5413.299805,5488.50,5413.299805,5484.399902,000,5484.399902
2016-11-22,5351.299805,5425.50,5351.299805,5413.299805,000,5413.299805
2016-11-21,5359.399902,5364.00,5334.899902,5351.299805,000,5351.299805
2016-11-18,5338.50,5366.399902,5338.50,5359.399902,000,5359.399902
2016-11-17,5327.700195,5344.700195,5286.200195,5338.50,000,5338.50
2016-11-16,5326.200195,5346.700195,5320.299805,5327.700195,000,5327.700195
2016-11-15,5345.700195,5345.700195,5303.299805,5326.200195,000,5326.200195
2016-11-14,5370.700195,5370.700195,5315.299805,5345.700195,000,5345.700195
2016-11-11,5328.799805,5370.700195,5328.799805,5370.700195,000,5370.700195
2016-11-10,5156.600098,5328.799805,5156.600098,5328.799805,000,5328.799805
2016-11-09,5257.799805,5314.100098,5052.100098,5156.600098,000,5156.600098
2016-11-08,5250.799805,5282.399902,5244.299805,5257.799805,000,5257.799805
2016-11-07,5180.799805,5251.899902,5180.799805,5250.799805,000,5250.799805
2016-11-04,5225.600098,5225.600098,5178.00,5180.799805,000,5180.799805
2016-11-03,5229.00,5241.200195,5201.50,5225.600098,000,5225.600098
2016-11-02,5290.50,5290.50,5207.700195,5229.00,000,5229.00
2016-11-01,5317.700195,5317.700195,5271.700195,5290.50,000,5290.50
2016-10-31,5283.799805,5329.100098,5277.700195,5317.700195,000,5317.700195
2016-10-28,5295.50,5311.399902,5261.399902,5283.799805,000,5283.799805
2016-10-27,5359.799805,5374.200195,5295.50,5295.50,000,5295.50
2016-10-26,5442.799805,5442.799805,5340.700195,5359.799805,000,5359.799805
2016-10-25,5408.50,5455.700195,5407.700195,5442.799805,000,5442.799805
2016-10-24,5430.299805,5430.299805,5377.399902,5408.50,000,5408.50
2016-10-21,5442.100098,5446.899902,5410.799805,5430.299805,000,5430.299805
2016-10-20,5435.399902,5457.899902,5433.100098,5442.100098,000,5442.100098
2016-10-19,5410.799805,5438.600098,5410.799805,5435.399902,000,5435.399902
2016-10-18,5388.700195,5417.50,5386.100098,5410.799805,000,5410.799805
2016-10-17,5434.00,5441.200195,5388.700195,5388.700195,000,5388.700195
2016-10-14,5435.50,5447.200195,5430.299805,5434.00,000,5434.00
2016-10-13,5474.600098,5474.600098,5420.799805,5435.50,000,5435.50
2016-10-12,5479.799805,5479.799805,5433.600098,5474.600098,000,5474.600098
2016-10-11,5475.399902,5498.00,5474.399902,5479.799805,000,5479.799805
2016-10-10,5467.399902,5494.700195,5467.399902,5475.399902,000,5475.399902
2016-10-07,5483.00,5493.100098,5457.200195,5467.399902,000,5467.399902
2016-10-06,5452.899902,5485.799805,5452.899902,5483.00,000,5483.00
2016-10-05,5484.00,5484.00,5439.799805,5452.899902,000,5452.899902
2016-10-04,5478.50,5484.00,5448.299805,5484.00,000,5484.00
2016-10-03,5435.899902,5492.100098,5435.899902,5478.50,000,5478.50
2016-09-30,5471.299805,5471.299805,5417.700195,5435.899902,000,5435.899902
2016-09-29,5412.399902,5473.299805,5412.399902,5471.299805,000,5471.299805
2016-09-28,5405.899902,5435.00,5399.100098,5412.399902,000,5412.399902
2016-09-27,5431.399902,5431.399902,5372.299805,5405.899902,000,5405.899902
2016-09-26,5431.299805,5436.100098,5407.600098,5431.399902,000,5431.399902
2016-09-23,5374.50,5434.299805,5373.899902,5431.299805,000,5431.299805
2016-09-22,5339.600098,5391.899902,5339.600098,5374.50,000,5374.50
2016-09-21,5303.600098,5345.50,5303.100098,5339.600098,000,5339.600098
2016-09-20,5294.799805,5307.600098,5276.299805,5303.600098,000,5303.600098
2016-09-19,5296.700195,5301.200195,5273.00,5294.799805,000,5294.799805
2016-09-16,5239.899902,5306.100098,5239.899902,5296.700195,000,5296.700195
2016-09-15,5227.700195,5242.50,5204.00,5239.899902,000,5239.899902
2016-09-14,5207.799805,5230.600098,5192.200195,5227.700195,000,5227.700195
2016-09-13,5219.600098,5276.100098,5207.799805,5207.799805,000,5207.799805
2016-09-12,5339.200195,5339.200195,5215.00,5219.600098,000,5219.600098
2016-09-09,5385.799805,5385.799805,5332.399902,5339.200195,000,5339.200195
2016-09-08,5424.200195,5424.200195,5358.00,5385.799805,000,5385.799805
2016-09-07,5413.600098,5440.200195,5410.600098,5424.200195,000,5424.200195
2016-09-06,5429.600098,5430.299805,5404.399902,5413.600098,000,5413.600098
2016-09-05,5372.799805,5431.100098,5372.799805,5429.600098,000,5429.600098
2016-09-02,5415.600098,5418.899902,5361.700195,5372.799805,000,5372.799805
2016-09-01,5433.00,5433.00,5405.700195,5415.600098,000,5415.600098
2016-08-31,5478.299805,5478.299805,5412.600098,5433.00,000,5433.00
2016-08-30,5469.200195,5504.00,5469.200195,5478.299805,000,5478.299805
2016-08-29,5515.50,5516.700195,5452.299805,5469.200195,000,5469.200195
2016-08-26,5541.899902,5544.399902,5513.700195,5515.50,000,5515.50
2016-08-25,5561.700195,5562.399902,5535.399902,5541.899902,000,5541.899902
2016-08-24,5553.799805,5569.100098,5552.50,5561.700195,000,5561.700195
2016-08-23,5515.100098,5574.00,5515.100098,5553.799805,000,5553.799805
2016-08-22,5526.700195,5537.399902,5508.700195,5515.100098,000,5515.100098
2016-08-19,5507.799805,5533.100098,5504.50,5526.700195,000,5526.700195
2016-08-18,5535.00,5546.00,5498.700195,5507.799805,000,5507.799805
2016-08-17,5532.00,5537.899902,5506.700195,5535.00,000,5535.00
2016-08-16,5540.00,5549.799805,5530.100098,5532.00,000,5532.00
2016-08-15,5530.899902,5545.200195,5510.799805,5540.00,000,5540.00
2016-08-12,5508.00,5549.100098,5506.200195,5530.899902,000,5530.899902
2016-08-11,5543.700195,5543.700195,5483.700195,5508.00,000,5508.00
2016-08-10,5552.50,5552.50,5513.200195,5543.700195,000,5543.700195
2016-08-09,5537.799805,5553.799805,5536.200195,5552.50,000,5552.50
2016-08-08,5497.399902,5549.600098,5497.399902,5537.799805,000,5537.799805
2016-08-05,5475.799805,5512.50,5475.799805,5497.399902,000,5497.399902
2016-08-04,5465.700195,5509.200195,5465.700195,5475.799805,000,5475.799805
2016-08-03,5539.299805,5539.299805,5465.700195,5465.700195,000,5465.700195
2016-08-02,5587.399902,5592.100098,5539.299805,5540.50,000,5540.50
2016-08-01,5562.399902,5611.200195,5562.399902,5587.399902,000,5587.399902
2016-07-29,5556.600098,5570.399902,5536.899902,5562.299805,000,5562.299805
2016-07-28,5539.700195,5564.00,5538.799805,5556.600098,000,5556.600098
2016-07-27,5537.50,5564.600098,5530.00,5539.700195,000,5539.700195
2016-07-26,5530.200195,5537.50,5498.200195,5537.50,000,5537.50
2016-07-25,5498.200195,5548.50,5498.200195,5533.600098,000,5533.600098
2016-07-22,5512.600098,5512.600098,5477.899902,5498.200195,000,5498.200195
2016-07-21,5488.700195,5531.899902,5488.700195,5512.399902,000,5512.399902
2016-07-20,5451.299805,5488.700195,5439.799805,5488.700195,000,5488.700195
2016-07-19,5458.50,5466.399902,5432.799805,5451.299805,000,5451.299805
2016-07-18,5429.600098,5462.299805,5428.899902,5458.50,000,5458.50
2016-07-15,5411.600098,5452.700195,5411.600098,5429.600098,000,5429.600098
2016-07-14,5388.50,5416.00,5386.00,5411.600098,000,5411.600098
2016-07-13,5353.200195,5391.700195,5353.200195,5388.50,000,5388.50
2016-07-12,5337.100098,5391.899902,5337.100098,5353.200195,000,5353.200195
2016-07-11,5230.50,5337.100098,5230.50,5337.100098,000,5337.100098
2016-07-08,5227.899902,5238.299805,5217.399902,5230.50,000,5230.50
2016-07-07,5197.50,5244.100098,5197.50,5227.899902,000,5227.899902
2016-07-06,5228.00,5228.00,5148.700195,5197.50,000,5197.50
2016-07-05,5281.799805,5282.299805,5221.100098,5228.00,000,5228.00
2016-07-04,5246.600098,5281.799805,5218.50,5281.799805,000,5281.799805
2016-07-01,5233.399902,5278.899902,5233.399902,5246.600098,000,5246.600098
2016-06-30,5142.399902,5247.600098,5142.399902,5233.399902,000,5233.399902
2016-06-29,5103.299805,5156.50,5103.299805,5142.399902,000,5142.399902
2016-06-28,5137.200195,5137.200195,5051.100098,5103.299805,000,5103.299805
2016-06-27,5113.200195,5154.899902,5051.00,5137.200195,000,5137.200195
2016-06-24,5280.700195,5325.399902,5080.00,5113.200195,000,5113.200195
2016-06-23,5271.00,5292.799805,5269.399902,5280.700195,000,5280.700195
2016-06-22,5274.399902,5297.799805,5259.299805,5270.899902,000,5270.899902
2016-06-21,5256.799805,5290.00,5252.299805,5274.399902,000,5274.399902
2016-06-20,5162.700195,5256.799805,5162.700195,5256.799805,000,5256.799805
2016-06-17,5146.00,5178.399902,5146.00,5162.700195,000,5162.700195
2016-06-16,5147.100098,5198.899902,5141.00,5146.00,000,5146.00
2016-06-15,5203.299805,5203.299805,5147.100098,5147.100098,000,5147.100098
2016-06-14,5312.600098,5312.600098,5197.399902,5203.299805,000,5203.299805
2016-06-10,5361.899902,5361.899902,5294.200195,5312.600098,000,5312.600098
2016-06-09,5370.00,5386.00,5336.00,5361.899902,000,5361.899902
2016-06-08,5371.00,5375.50,5335.200195,5370.00,000,5370.00
2016-06-07,5360.100098,5392.50,5360.100098,5371.00,000,5371.00
2016-06-06,5318.899902,5374.899902,5317.100098,5360.399902,000,5360.399902
2016-06-03,5278.899902,5324.299805,5278.899902,5318.899902,000,5318.899902
2016-06-02,5323.200195,5327.799805,5270.899902,5278.899902,000,5278.899902
2016-06-01,5378.600098,5378.600098,5306.299805,5323.200195,000,5323.200195
2016-05-31,5408.00,5408.00,5365.299805,5378.600098,000,5378.600098
2016-05-30,5405.899902,5415.00,5391.50,5408.00,000,5408.00
2016-05-27,5388.100098,5427.700195,5388.100098,5405.899902,000,5405.899902
2016-05-26,5372.50,5402.700195,5354.100098,5388.100098,000,5388.100098
2016-05-25,5295.600098,5394.399902,5295.600098,5372.50,000,5372.50
2016-05-24,5318.899902,5324.00,5295.600098,5295.600098,000,5295.600098
2016-05-23,5351.299805,5364.600098,5297.50,5318.899902,000,5318.899902
2016-05-20,5323.299805,5366.00,5320.299805,5351.299805,000,5351.299805
2016-05-19,5356.200195,5371.100098,5303.100098,5323.299805,000,5323.299805
2016-05-18,5395.899902,5395.899902,5347.100098,5356.200195,000,5356.200195
2016-05-17,5358.899902,5395.899902,5358.899902,5395.899902,000,5395.899902
2016-05-16,5329.00,5371.100098,5319.799805,5358.899902,000,5358.899902
2016-05-13,5359.299805,5371.700195,5309.00,5329.00,000,5329.00
2016-05-12,5372.299805,5372.299805,5337.600098,5359.299805,000,5359.299805
2016-05-11,5342.799805,5425.200195,5342.799805,5372.299805,000,5372.299805
2016-05-10,5320.700195,5343.200195,5288.399902,5342.799805,000,5342.799805
2016-05-09,5292.00,5321.399902,5264.399902,5320.700195,000,5320.700195
2016-05-06,5281.600098,5292.00,5200.299805,5292.00,000,5292.00
2016-05-05,5271.100098,5294.100098,5249.799805,5279.100098,000,5279.100098
